Name,HD,Size,HP,ATK,DEF,AR,Save,Attacks,Damage,Special,Morale,Treasure,Notes
Goblin,1,Small,2,+1,11,0,19+,1,d4,Pack tactics,6,1,"Cowardly alone; dangerous in numbers. Flee when half their group falls."
Goblin Shaman,1,Small,2,+1,11,0,19+,1,d4,"Hex 1/day: target -1 all rolls until rest (save resists)",6,1,Hangs back. Curses strongest PC first. Priority target.
Orc Raider,2,Medium,7,+2,11,0,18+,1,d8,"Aggressive: never checks morale while warchief lives",8,1,Hits harder than expected. Serve a warchief.
Orc Veteran,3,Medium,10,+4,12,0,18+,1,d6,"Veteran (+1 ATK). Frightful presence: save or -1 ATK/DEF",9,2,Scarred and experienced. Presence unsettles lesser warriors.
Kreen Warrior,2,Medium,7,+3,11,1,18+,1,d6,"Veteran (+1 ATK). Natural chitin AR1 (free). Cannot be surprised.",9,1,Cannot be surprised. Chitin counts as armor for crit purposes.
Cave Bear,3,Large,12,+3,12,1,18+,1,d8,"Grab on hit: held target takes auto d8/round, STR task to escape. Keen scent.",8,0,Not hostile unless cornered or protecting cubs.
Bound Spirit,2,Small,4,+2,11,1,18+,1,d4,"Spell-like ability 1/day. Intangible: mundane weapons half damage.",10,0,Magic weapons deal full damage. Fragile but elusive.
Swamp Troll,5,Large,17,+5,12,1,17+,2,d8,"Regeneration: 3 HP/round, stopped by fire or acid. Keen scent.",9,3,Tracks by scent. Rarely abandons a chase. Immortal unless wounds cauterized.
Iron Sentinel,5,Medium,15,+6,12,3,17+,2,d6,"Veteran (+1 ATK). Never flees. Immune to poison/fear/mental (construct).",12,4,Ancient relic guardian. Does not negotiate.
Relic Guardian,5,Large,20,+5,12,2,17+,2,d8,"Veteran (+1 ATK). Never flees.",12,3,Ancient construct executing original function.
Stone Giant,8,Huge,36,+8,14,2,15+,3,d10,"Frightful presence: save or -1 ATK/DEF. Boulder throw (free): AGI save for half.",10,4,Boulders bypass defense rolls.
Elder Wyvern,8,Large,32,+9,14,2,15+,3,d8,"Veteran (+1 ATK). Poison sting: RES save or condition 2 slots. Frightful presence. Keen senses.",9,5,Sting counts as third attack. Disengages freely if airborne.
Ancient Dragon,10,Huge,52,+10,15,2,14+,3,d10,"Breath weapon: 5d10 fire cone save for half bypasses AR. Frightful presence. Legendary resistance 1/encounter.",10,10+,Highly intelligent. Will not fight on unfavorable terms.
Void Colossus,15,Colossal,90,+15,17,3,12+,3,d12,"Reality pulse 1/day: 5d12 all in area save or lose next action. Legendary resistance 2/encounter. Frightful presence: entire visible area.",12,15+,Ancient construct or cosmic entity of unclear origin.
