Rune,Element,Tradition,Description,Tier 1 Default,Notes
FIRE,Fire / Metal / Forge,Universal,Ignites a target or object. Scales from a spark to a conflagration engulfing a zone.,Strike one target for 1d6 fire damage.,
BURN,Fire / Metal / Forge,Universal,Sustained combustion: fire that spreads and lingers. Duration and area over burst damage.,Target continues burning for 1 round after hit: takes 1 damage at start of their turn.,
SMOG,Fire / Metal / Forge,Universal,Toxic fumes. Poisons targets. Scales to a persistent poisoned zone.,One target makes RES save or gains Poison condition (1 slot).,
MELT,Fire / Metal / Forge,Mage,Dissolution by heat. Destroys objects softens armor collapses structures. Fire as entropy.,Destroy or significantly damage one non-magical object.,
IRON,Fire / Metal / Forge + Earth,Universal,The forge rune. Hardens weapons and armor transmutes materials. Fire and earth as craft.,One weapon or piece of armor gains +1 to its relevant roll until next rest.,Shared across Fire and Earth
WYRM,Fire / Metal / Forge + Dark / Void,Mage + Shaman,Draconic fire / void serpent. Mage: ancient destructive flame. Shaman: great serpent spirit communion.,Strike one target for 1d6: ignores AR 1 armor.,Shared rune: different fictional framing by tradition
BOOM,Fire / Metal / Forge,Universal,Concussive explosion. Not fire per se but the force of ignition: knockback and impact.,One target takes 1d6 damage and is knocked back one zone.,Could also live in a Force category
TIDE,Water / Ice,Shaman,Flowing water: push pull current wave. Force and movement. Scales from a jet to a flood.,Push one target back one zone or knock them prone.,
RIME,Water / Ice,Mage,Ice and frost. Freezes targets creates slick terrain. Immobilization over raw damage.,One target makes AGI save or is slowed: half movement next round.,
MIST,Water / Ice,Universal,Obscuring vapor. Cover concealment blurs vision. Utility and evasion.,Create a zone of mist: all ranged attacks into or through it are at -1.,
WAVE,Water / Ice,Shaman,A cresting surge. More aggressive than TIDE: impact and knockback.,All targets in a zone make AGI save or are knocked prone.,
RAIN,Water / Ice,Shaman,Persistent precipitation. Slows enemies extinguishes fire creates difficult terrain.,Zone becomes difficult terrain for 1d6 rounds. Extinguishes mundane fire.,
GILL,Water / Ice,Universal,Breathe and move freely underwater. At higher tiers extend to the whole party.,Caster can breathe and move normally underwater for 1 exploration turn.,
FLOW,Water / Ice,Shaman,Shape and redirect water. Channel dam or release. Control over force.,Redirect a body of water or create a current strong enough to push a person.,
CURE,Water / Ice,Shaman,Removes poisons and toxins. Water purifying the body. Distinct from HEAL.,Remove one poison or disease condition from a target.,Water tradition's healing rune: pairs with HEAL
RUIN,Earth / Seismic,Mage,Seismic force. Erupting rock spikes falling debris earthquake at high tiers. Terrain destruction.,Rock spike erupts under one target: 1d6 damage AGI save or knocked prone.,
SAND,Earth / Seismic,Universal,Loose earth: blinding clouds shifting ground partial burial. Subtler than RUIN.,One target makes AGI save or is blinded until end of their next turn.,
DUST,Earth / Seismic,Universal,Fine particulate. Obscures clogs mechanisms.,Create an obscuring cloud in one zone: -1 to all rolls inside it.,Overlaps with SMOG at higher tiers
